"素材组","适用题号","热点名称","来源层级","来源单位","日期","链接","可用材料事实","命题使用限制"
"A01","1,9","十五五规划编制与全过程人民民主","官方媒体","新华社","2026-03-01","https://www.xinhuanet.com/politics/leaders/20260301/a6c84ac4886f4645a820adc2e0b48b28/c.html","规划编制网络征求意见、人民民主制度实践、两会审查规划纲要。","可做制度优势和青年担当，不照搬报道叙述。"
"A02","2","春节非遗与传统文化活化","官方媒体","央视网","2026-02-08","https://news.cctv.com/2026/02/08/ARTIhL6Ss8hzc48za3eNDRXu260208.shtml","春节非遗活动、互动体验、传统技艺进入现代节庆场景。","可做文化传承创新，不考非遗项目名称记忆。"
"A03","3,15","北京接诉即办与政协民主监督","官方/地方媒体","首都之窗/北京日报","2026-01-23","https://www.beijing.gov.cn/ywdt/yaowen/202601/t20260123_4458128.html","政协民主监督嵌入接诉即办治理链条，委员参与每月一题。","必须区分政协协商监督与国家权力机关职能。"
"A04","4,21","智能经济新形态","官方媒体","新华网/新华社","2026-03-08","https://www.xinhuanet.com/politics/20260308/05d28fb3f67c4159b8cae3cd5f297ce0/c.html","政府工作报告提出打造智能经济新形态，人工智能与实体经济、数字基建、产业生态融合。","可做经济题或逻辑题，不能写成纯科技新闻题。"
"A05","5","消费品以旧换新与扩内需","官方媒体","央视新闻","2026-03-22","https://news.cctv.com/2026/03/22/ARTIQPqR1S3KumY62uFFjk3h260322.shtml","财政资金支持消费品以旧换新，财政金融协同促内需。","可考财政政策和内需，不把补贴等同于唯一增长动力。"
"A06","6","智慧农业与春耕科技","官方媒体","央视网","2026-03-19","https://news.cctv.com/2026/03/19/ARTIvsaOoqQMSG3UFfSR3P2H260319.shtml","智慧农机、科技春管、数字化管理服务农业生产。","可考新发展理念和乡村振兴，不做农业技术细节题。"
"A07","7,17","生态环境法典与生态文明法治保障","官方机关","最高人民法院","2026-04-24","https://www.court.gov.cn/zixun/xiangqing/498351.html","生态环境法典通过后，司法机关学习贯彻并服务生态建设。","必修三侧重依法治国；选必二侧重法律关系和责任。"
"A08","8","知识产权严格保护典型案例","官方机关","国家知识产权局","2026-02-11","https://www.cnipa.gov.cn/art/2026/2/11/art_55_204620.html","知识产权执法典型案件，覆盖商标侵权、专利假冒等违法行为。","可做法律选择题，不直接照搬案例当事实判断题。"
"A09","10","长期护理保险制度","官方媒体","央视网","2026-03-26","https://news.cctv.com/2026/03/26/ARTIFjC5QQtKdbBg1UCdgiIh260326.shtml","长期护理保险制度作为社会保障体系组成部分，面向失能人员护理需求。","可考社会保障和风险分担，不做政策条文背诵题。"
"A10","11,18","全民阅读条例与AI时代阅读","官方媒体","人民网/人民日报","2026-04-20","https://cpc.people.com.cn/n1/2026/0420/c64387-40704588.html","全民阅读活动周、AI时代阅读能力与书香社会建设。","可做文化题、哲学题；材料需原创重组。"
"A11","12,19","WTO改革与中国立场","官方机关","商务部","2026-02-19","https://www.mofcom.gov.cn/bnjg/art/2026/art_e7da0ca6ec794daea7e9282c3947546b.html","中国向WTO提交改革立场文件，维护多边贸易体制。","选必一使用，避免泛化为外交口号。"
"A12","13","商标使用管理与恶意注册治理","官方机关","国家知识产权局","2025-12-30","https://www.cnipa.gov.cn/art/2025/12/30/art_66_203339.html","加强商标使用管理，关注恶意商标注册、误导公众等行为。","用于逻辑/法律材料，不能要求学生记行政通知细节。"
"A13","14","新质生产力与现代化产业体系","官方媒体","新华网/新华社","2026-03-17","https://www.xinhuanet.com/politics/leaders/20260317/512ddaf53d71442b9ecdc376d6ea3869/c.html","因地制宜发展新质生产力，现代化产业体系和区域协同。","可连国际产业链、全球竞争，不脱离教材。"
"A14","16","中国—东盟自贸区3.0版","官方媒体","人民日报/人民网","2025-12-10","https://cpc.people.com.cn/n1/2025/1210/c64387-40621155.html","中国—东盟自贸区3.0版、区域产业链供应链、绿色经济和数字经济合作。","2025材料但处在2026落地实施节点，可用作经济综合线。"
"A15","20","民法典绿色原则与司法保护","官方机关","最高人民法院","2025-05-28","https://www.court.gov.cn/zixun/xiangqing/466231.html","民法典绿色原则、环境资源民事审判和生态环境保护。","作为生态环境法典材料的补充来源，不能替代2026主来源。"
"A16","21","如何打造智能经济新形态","官方媒体","新华网/经济日报","2026-03-13","https://www.xinhuanet.com/tech/20260313/028b29a534424410bda84fb52f1e08ae/c.html","智能经济概念、数字经济与智能经济区别、规模化应用。","适合选必三概念、定义、判断和创新思维题。"
"A17","18","全民阅读促进条例","官方媒体","央视网","2026-02-01","https://book.cctv.com/2026/02/01/ARTIc9sqo4U0oGweeQeBaMVQ260201.shtml","全民阅读促进条例施行，公共阅读设施、书香社会建设。","可做“阅读为何需要公共制度保障”主观题。"
"A18","2,18","北京中轴线活化传承","大型媒体/官方转载","央视网/中国青年报","2026-01-16","https://news.cctv.cn/2026/01/16/ARTIpB5RMv4ndzhv7TxWUBGC260116.shtml","北京中轴线申遗成功后，东城西城联手创建保护利用示范区。","北京地方材料，可与文化遗产保护结合。"
"A19","6","农业新质生产力与数字乡村","官方媒体","央视网","2026-03-19","https://news.cctv.com/2026/03/19/ARTIvsaOoqQMSG3UFfSR3P2H260319.shtml","智慧农机、科技春管、数字化管理服务农业生产。","作为智慧春耕备选来源。"
"A20","5,10","服务消费提质惠民行动","大型媒体","新浪财经/中国经济网","2026-04-05","https://finance.sina.com.cn/jjxw/2026-04-05/doc-inhtkvri2282450.shtml?froms=ggmp","服务消费提质惠民行动提出餐饮住宿、养老托育、文娱旅游等任务。","可与消费、养老、民生保障题连接；成卷时优先补官方原始链接。"
