finding_id,severity,source_verdict,patch_action,post_patch_status,evidence
F-LB08-01,P1,PASS_WITH_WARNINGS,Removed "细则31" file-id wording from Q-2024朝阳一模-20-1 teaching body while preserving 1+2 分 structure,PATCHED,generated_text forbidden-term scan returns 0 hits
F-LB08-02,P1,PASS_WITH_WARNINGS,Removed "细则022" file-id wording from Q-2024朝阳二模-19-1 teaching body while preserving 动态性/类比推理 and 2+3 分 structure,PATCHED,generated_text forbidden-term scan returns 0 hits
F-LB08-03,P1,PASS_WITH_WARNINGS,Removed "细则022" file-id wording from Q-2024朝阳二模-19-2 teaching body while preserving 联言判断 and 保真条件 2+3 分 structure,PATCHED,generated_text forbidden-term scan returns 0 hits
F-LB08-04,P1,PASS_WITH_WARNINGS,Removed phase07 field-name wording from Q-2026顺义一模-19-2 teaching body; kept double mount as teaching phrasing,PATCHED,generated_text forbidden-term scan returns 0 hits
F-LB08-05,P1,PASS_WITH_WARNINGS,Removed "原始 phase07 数据已锁定 B" parenthetical from Q-2025东城期末-13 MD answer line,PATCHED,Markdown targeted scan returns no phase07/细则022/细则31 leakage in question body
F-LB08-06,P1,PASS_WITH_WARNINGS,Removed "原始 phase07 数据锁定" parenthetical from Q-2025顺义一模-7 MD answer line,PATCHED,Markdown targeted scan returns no phase07/细则022/细则31 leakage in question body
F-LB08-07,P1,PASS_WITH_WARNINGS,Mirrored Q-2024朝阳二模-19-1 and 19-2 cleanup in Markdown body,PATCHED,Markdown body now uses 本题要求/本题明确 rather than file-id wording
F-LB08-08,P1,PASS_WITH_WARNINGS,Confirmed Q-2024朝阳一模-20-1 Markdown body has no file-id wording,PATCHED,Markdown targeted scan returns no 细则31
F-LB08-09,P2,PASS_WITH_WARNINGS,Added explicit 正确选项 C(②③) to Q-2024朝阳一模-7 teaching body,PATCHED,CSV and MD both contain 正确选项 C(②③)
F-LB08-10,P2,PASS_WITH_WARNINGS,Added explicit 正确选项 D(③④) to Q-2024朝阳一模-9 teaching body,PATCHED,CSV and MD both contain 正确选项 D(③④)
F-LB08-11,P3,PASS_WITH_WARNINGS,Softened Q-2025丰台期末-7 audit-style type-label phrasing into teaching wording,PATCHED,Answer remains C; no answer/status/pairing changes
F-LB08-12,P3_INFO,PASS_WITH_WARNINGS,Kept opus_self_note as audit-only convention; rebuilt CSV note marks recovery/patch provenance,NO_ACTION_REQUIRED,Audit column only; generated_text is clean
CSV-RECOVERY,P1_INTERNAL,NA,Rebuilt prototype CSV from cleaned Markdown plus Phase08 input freeze after first patch script truncated the CSV; corrupt pre-rebuild backup preserved,PATCHED,CSV rows=29; id_set matches freeze; module counts 思维13/推理11/交叉5; status counts L3_candidate25/L4
